GENE PRODUCT DB,GENE PRODUCT ID,SYMBOL,QUALIFIER,GO TERM,SLIMMED FROM,GO NAME,ECO ID,GO EVIDENCE CODE,REFERENCE,WITH/FROM,TAXON ID,ASSIGNED BY,ANNOTATION EXTENSION,GO ASPECT
UniProtKB,A0A024R3E3,APOA1,involved_in,GO:0030301,GO:0030301,cholesterol transport,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P04639|ensembl:ENSRNOP00000065206,9606,Ensembl,,P
UniProtKB,A0A024R3E3,APOA1,involved_in,GO:0033344,GO:0033344,cholesterol efflux,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q00623|ensembl:ENSMUSP00000034588,9606,Ensembl,,P
UniProtKB,A0A024R3E3,APOA1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q00623|ensembl:ENSMUSP00000034588,9606,Ensembl,,P
UniProtKB,A0A024R3E3,APOA1,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q00623|ensembl:ENSMUSP00000034588,9606,Ensembl,,P
UniProtKB,A0A024R3G4,SC5DL,involved_in,GO:0006695,GO:0033490,cholesterol biosynthetic process via lathosterol,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q9EQS5|ensembl:ENSRNOP00000011284,9606,Ensembl,,P
UniProtKB,A0A024R3R5,LBR,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A024R3R5,LBR,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0152,9606,UniProt,,P
UniProtKB,A0A024R3R5,LBR,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00063,9606,UniProt,,P
UniProtKB,A0A024R3V6,ARV1,involved_in,GO:0030301,GO:0030301,cholesterol transport,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q9D0U9|ensembl:ENSMUSP00000034463,9606,Ensembl,,P
UniProtKB,A0A024R4V4,MLC1,involved_in,GO:0070723,GO:0071397,cellular response to cholesterol,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:D4ABB2|ensembl:ENSRNOP00000052732,9606,Ensembl,,P
UniProtKB,A0A024R577,TM7SF2,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A024R577,TM7SF2,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0152,9606,UniProt,,P
UniProtKB,A0A024R577,TM7SF2,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q5BK21|ensembl:ENSRNOP00000028485,9606,Ensembl,,P
UniProtKB,A0A024R577,TM7SF2,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q71KT5|ensembl:ENSMUSP00000025713,9606,Ensembl,,P
UniProtKB,A0A024R577,TM7SF2,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00063,9606,UniProt,,P
UniProtKB,A0A024R5F7,DHCR7,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A024R5F7,DHCR7,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0152,9606,UniProt,,P
UniProtKB,A0A024R5F7,DHCR7,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q9Z2Z8|ensembl:ENSRNOP00000028194,9606,Ensembl,,P
UniProtKB,A0A024R5F7,DHCR7,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00063,9606,UniProt,,P
UniProtKB,A0A024R5J8,LRRC54,involved_in,GO:0033344,GO:0033344,cholesterol efflux,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q8CBR6|ensembl:ENSMUSP00000091713,9606,Ensembl,,P
UniProtKB,A0A024R5J8,LRRC54,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q8CBR6|ensembl:ENSMUSP00000091713,9606,Ensembl,,P
UniProtKB,A0A024R5J8,LRRC54,involved_in,GO:0042632,GO:0042632,cholesterol homeostasis,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q8CBR6|ensembl:ENSMUSP00000091713,9606,Ensembl,,P
UniProtKB,A0A024R6C0,NPC2,involved_in,GO:0030301,GO:0032367,intracellular cholesterol transport,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR033916,9606,InterPro,,P
UniProtKB,A0A024R6C0,NPC2,enables,GO:0015485,GO:0015485,cholesterol binding,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q9Z0J0|ensembl:ENSMUSP00000021668,9606,Ensembl,,F
UniProtKB,A0A024R6C0,NPC2,involved_in,GO:0030301,GO:0030301,cholesterol transport,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q9Z0J0|ensembl:ENSMUSP00000021668,9606,Ensembl,,P
UniProtKB,A0A024R6C0,NPC2,involved_in,GO:0033344,GO:0033344,cholesterol efflux,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q9Z0J0|ensembl:ENSMUSP00000021668,9606,Ensembl,,P
UniProtKB,A0A024R6C0,NPC2,involved_in,GO:0030301,GO:0032367,intracellular cholesterol transport,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q9Z0J0|ensembl:ENSMUSP00000021668,9606,Ensembl,,P
UniProtKB,A0A024R730,CFTR,involved_in,GO:0030301,GO:0030301,cholesterol transport,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P26361|ensembl:ENSMUSP00000049228,9606,Ensembl,,P
UniProtKB,A0A024R730,CFTR,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P26361|ensembl:ENSMUSP00000049228,9606,Ensembl,,P
UniProtKB,A0A024R7D5,LDLR,involved_in,GO:0030301,GO:0030301,cholesterol transport,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P35951|ensembl:ENSMUSP00000034713,9606,Ensembl,,P
UniProtKB,A0A024R7D5,LDLR,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P35951|ensembl:ENSMUSP00000034713,9606,Ensembl,,P
UniProtKB,A0A024R7D5,LDLR,involved_in,GO:0042632,GO:0042632,cholesterol homeostasis,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P35951|ensembl:ENSMUSP00000034713,9606,Ensembl,,P
UniProtKB,A0A024R7D5,LDLR,involved_in,GO:0070508,GO:0070508,cholesterol import,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P35951|ensembl:ENSMUSP00000034713,9606,Ensembl,,P
UniProtKB,A0A024R8J6,ABCA5,involved_in,GO:0030301,GO:0030301,cholesterol transport,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR030367,9606,InterPro,,P
UniProtKB,A0A024RAI2,INSIG2,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A024RAI2,INSIG2,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q91WG1|ensembl:ENSMUSP00000003818,9606,Ensembl,,P
UniProtKB,A0A024RAI2,INSIG2,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q91WG1|ensembl:ENSMUSP00000003818,9606,Ensembl,,P
UniProtKB,A0A024RAP2,HMGCR,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A024RAP2,HMGCR,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0152,9606,UniProt,,P
UniProtKB,A0A024RAP2,HMGCR,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q01237|ensembl:ENSMUSP00000022176,9606,Ensembl,,P
UniProtKB,A0A024RAP2,HMGCR,involved_in,GO:0042632,GO:0042632,cholesterol homeostasis,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P51639|ensembl:ENSRNOP00000022055,9606,Ensembl,,P
UniProtKB,A0A024RAP2,HMGCR,involved_in,GO:0070723,GO:0070723,response to cholesterol,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P51639|ensembl:ENSRNOP00000022055,9606,Ensembl,,P
UniProtKB,A0A024RBS4,SCARB1,involved_in,GO:0030301,GO:0030301,cholesterol transport,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q61009|ensembl:ENSMUSP00000083242,9606,Ensembl,,P
UniProtKB,A0A024RBS4,SCARB1,involved_in,GO:0033344,GO:0033344,cholesterol efflux,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q61009|ensembl:ENSMUSP00000083242,9606,Ensembl,,P
UniProtKB,A0A024RBS4,SCARB1,involved_in,GO:0006707,GO:0006707,cholesterol catabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q61009|ensembl:ENSMUSP00000083242,9606,Ensembl,,P
UniProtKB,A0A024RBS4,SCARB1,involved_in,GO:0043691,GO:0043691,reverse cholesterol transport,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q61009|ensembl:ENSMUSP00000083242,9606,Ensembl,,P
UniProtKB,A0A024RBS4,SCARB1,involved_in,GO:0042632,GO:0042632,cholesterol homeostasis,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q61009|ensembl:ENSMUSP00000083242,9606,Ensembl,,P
UniProtKB,A0A024RBS4,SCARB1,involved_in,GO:0070508,GO:0070508,cholesterol import,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q61009|ensembl:ENSMUSP00000083242,9606,Ensembl,,P
UniProtKB,A0A024RBV2,AACS,involved_in,GO:0070723,GO:0071397,cellular response to cholesterol,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q9JMI1|ensembl:ENSRNOP00000001292,9606,Ensembl,,P
UniProtKB,A0A024RD68,INSIG1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR009904,9606,InterPro,,P
UniProtKB,A0A024RD68,INSIG1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A024RD68,INSIG1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q8BGI3|ensembl:ENSMUSP00000061877,9606,Ensembl,,P
UniProtKB,A0A024RD68,INSIG1,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q8BGI3|ensembl:ENSMUSP00000061877,9606,Ensembl,,P
UniProtKB,A0A024RDG6,SCARB2,enables,GO:0015485,GO:0015485,cholesterol binding,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:O35114|ensembl:ENSMUSP00000031377,9606,Ensembl,,F
UniProtKB,A0A068F579,A0A068F579,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A068F658,GBA,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P17439|ensembl:ENSMUSP00000130660,9606,Ensembl,,P
UniProtKB,A0A068F658,GBA,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A068F753,A0A068F753,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A075B768,RELCH,involved_in,GO:0030301,GO:0032367,intracellular cholesterol transport,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR040362,9606,InterPro,,P
UniProtKB,A0A075B778,ABCA5,involved_in,GO:0030301,GO:0030301,cholesterol transport,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR030367,9606,InterPro,,P
UniProtKB,A0A075B785,RELCH,involved_in,GO:0030301,GO:0032367,intracellular cholesterol transport,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR040362,9606,InterPro,,P
UniProtKB,A0A0A0MQU7,HNF1A,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P22361|ensembl:ENSMUSP00000031535,9606,Ensembl,,P
UniProtKB,A0A0A0MQU7,HNF1A,involved_in,GO:0043691,GO:0043691,reverse cholesterol transport,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P22361|ensembl:ENSMUSP00000031535,9606,Ensembl,,P
UniProtKB,A0A0A0MSZ4,FDXR,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A0A0MT64,FDXR,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A0A0MTN9,FDXR,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A0A0MTR6,FDXR,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A0C4DFL7,CYP51A1,involved_in,GO:0006695,GO:0033488,"cholesterol biosynthetic process via 24,25-dihydrolanosterol",ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q64654|ensembl:ENSRNOP00000009985,9606,Ensembl,,P
UniProtKB,A0A0C4DFN8,FDXR,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A0C4DGN7,FDXR,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A0C4DGZ4,INSIG2,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A0G2JLB3,GBA,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A0G2JNZ0,GBA,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A0G2JNZ5,GBA,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A0S2Z3D5,APOE,involved_in,GO:0033344,GO:0033344,cholesterol efflux,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P08226|ensembl:ENSMUSP00000133302,9606,Ensembl,,P
UniProtKB,A0A0S2Z3D5,APOE,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P08226|ensembl:ENSMUSP00000133302,9606,Ensembl,,P
UniProtKB,A0A0S2Z3D5,APOE,involved_in,GO:0006707,GO:0006707,cholesterol catabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P08226|ensembl:ENSMUSP00000133302,9606,Ensembl,,P
UniProtKB,A0A0S2Z3D5,APOE,involved_in,GO:0042632,GO:0042632,cholesterol homeostasis,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P08226|ensembl:ENSMUSP00000133302,9606,Ensembl,,P
UniProtKB,A0A0S2Z3F6,CETP,involved_in,GO:0043691,GO:0043691,reverse cholesterol transport,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR017130,9606,InterPro,,P
UniProtKB,A0A0S2Z3F6,CETP,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A0S2Z3H9,CYP11A1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A0S2Z3I8,CETP,involved_in,GO:0043691,GO:0043691,reverse cholesterol transport,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR017130,9606,InterPro,,P
UniProtKB,A0A0S2Z3I8,CETP,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A0S2Z3M2,CYP11A1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A0S2Z3R3,CYP11A1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A0S2Z3R3,CYP11A1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A0S2Z3T5,CYP11A1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A0S2Z4E8,STAR,enables,GO:0015485,GO:0015485,cholesterol binding,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR029866,9606,InterPro,,F
UniProtKB,A0A0S2Z4E8,STAR,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A140VJC8,A0A140VJC8,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P12023|ensembl:ENSMUSP00000154061,9606,Ensembl,,P
UniProtKB,A0A140VJL2,A0A140VJL2,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A140VJL2,A0A140VJL2,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0152,9606,UniProt,,P
UniProtKB,A0A140VK24,A0A140VK24,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P16301|ensembl:ENSMUSP00000038232,9606,Ensembl,,P
UniProtKB,A0A1B0GUD6,GRAMD1B,involved_in,GO:0070723,GO:0071397,cellular response to cholesterol,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q80TI0|ensembl:ENSMUSP00000048126,9606,Ensembl,,P
UniProtKB,A0A1B0GUD6,GRAMD1B,involved_in,GO:0042632,GO:0042632,cholesterol homeostasis,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q80TI0|ensembl:ENSMUSP00000048126,9606,Ensembl,,P
UniProtKB,A0A1B0GUD6,GRAMD1B,enables,GO:0015485,GO:0015485,cholesterol binding,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q80TI0|ensembl:ENSMUSP00000048126,9606,Ensembl,,F
UniProtKB,A0A1B0GWC2,MVK,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A1B0GWC2,MVK,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0152,9606,UniProt,,P
UniProtKB,A0A1Y1B909,DHCR7,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A1Y1B909,DHCR7,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0152,9606,UniProt,,P
UniProtKB,A0A1Y1B909,DHCR7,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00063,9606,UniProt,,P
UniProtKB,A0A1Y1BBN3,DHCR7,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A1Y1BBN3,DHCR7,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0152,9606,UniProt,,P
UniProtKB,A0A1Y1BBN3,DHCR7,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00063,9606,UniProt,,P
UniProtKB,A0A223PQI4,A0A223PQI4,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00296,9606,UniProt,,P
UniProtKB,A0A2R8Y566,RELCH,involved_in,GO:0030301,GO:0032367,intracellular cholesterol transport,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR040362,9606,InterPro,,P
UniProtKB,A0A2Z2EKN2,INSIG1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR009904,9606,InterPro,,P
UniProtKB,A0A2Z2EKN2,INSIG1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A384MDY5,A0A384MDY5,involved_in,GO:0042632,GO:0042632,cholesterol homeostasis,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P11404|ensembl:ENSMUSP00000070709,9606,Ensembl,,P
UniProtKB,A0A384NPZ7,A0A384NPZ7,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q9R1J0|ensembl:ENSMUSP00000033715,9606,Ensembl,,P
UniProtKB,A0A384P5Q0,A0A384P5Q0,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P24270|ensembl:ENSMUSP00000028610,9606,Ensembl,,P
UniProtKB,A0A494C1L1,LBR,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A494C1L1,LBR,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0152,9606,UniProt,,P
UniProtKB,A0A494C1L1,LBR,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000322,IEA,GO_REF:0000041,UniPathway:UPA00063,9606,UniProt,,P
UniProtKB,A0A669KBG0,PCSK9,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A3QNQ0,TGFBR2,involved_in,GO:0070723,GO:0070723,response to cholesterol,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q62312|ensembl:ENSMUSP00000062333,9606,Ensembl,,P
UniProtKB,A4D0Y8,LEP,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P41160|ensembl:ENSMUSP00000067046,9606,Ensembl,,P
